iter	Passed	Remaining
1073	4038	5361
1074	4041	5357
1075	4045	5353
1076	4049	5350
1077	4052	5346
1078	4056	5341
1079	4059	5337
1080	4063	5333
1081	4067	5330
1082	4071	5326
1083	4074	5322
1084	4078	5318
1085	4081	5314
1086	4085	5310
1087	4088	5306
1088	4091	5301
1089	4096	5298
1090	4099	5294
1091	4102	5289
1092	4106	5285
1093	4109	5281
1094	4113	5278
1095	4116	5273
1096	4120	5269
1097	4123	5265
1098	4127	5261
1099	4130	5257
1100	4134	5253
1101	4137	5248
1102	4140	5244
1103	4144	5241
1104	4148	5236
1105	4151	5232
1106	4154	5228
1107	4158	5224
1108	4162	5221
1109	4166	5217
1110	4170	5213
1111	4173	5209
1112	4177	5206
1113	4181	5202
1114	4184	5197
1115	4187	5193
1116	4191	5189
1117	4194	5185
1118	4198	5181
1119	4201	5177
1120	4204	5172
1121	4208	5168
1122	4212	5165
1123	4215	5160
1124	4218	5156
1125	4222	5152
1126	4226	5148
1127	4229	5144
1128	4232	5140
1129	4236	5135
1130	4239	5131
1131	4243	5128
1132	4246	5123
1133	4250	5119
1134	4253	5115
1135	4257	5112
1136	4261	5107
1137	4264	5103
1138	4267	5099
1139	4271	5095
1140	4275	5092
1141	4279	5088
1142	4284	5086
1143	4287	5082
1144	4291	5079
1145	4295	5075
1146	4298	5070
1147	4302	5066
1148	4305	5062
1149	4309	5058
1150	4312	5054
1151	4316	5050
1152	4319	5046
1153	4323	5042
1154	4326	5038
1155	4330	5034
1156	4333	5030
1157	4336	5025
1158	4340	5022
1159	4344	5018
1160	4347	5013
1161	4350	5009
1162	4354	5006
1163	4358	5002
1164	4361	4998
1165	4364	4993
1166	4368	4989
1167	4372	4986
1168	4376	4982
1169	4380	4979
1170	4383	4975
1171	4387	4971
1172	4391	4967
1173	4394	4963
1174	4397	4959
1175	4400	4954
1176	4404	4951
1177	4408	4947
1178	4411	4942
1179	4414	4938
1180	4418	4935
1181	4422	4931
1182	4425	4927
1183	4429	4922
1184	4432	4918
1185	4436	4915
1186	4439	4911
1187	4442	4906
1188	4446	4902
1189	4449	4897
1190	4453	4894
1191	4456	4890
1192	4460	4886
1193	4463	4882
1194	4467	4878
1195	4471	4875
1196	4475	4871
1197	4478	4867
1198	4481	4863
1199	4486	4859
1200	4489	4855
1201	4492	4851
1202	4496	4847
1203	4499	4843
1204	4503	4839
1205	4506	4835
1206	4509	4831
1207	4513	4827
1208	4518	4825
1209	4521	4820
1210	4525	4816
1211	4528	4812
1212	4532	4808
1213	4535	4804
1214	4539	4800
1215	4542	4796
1216	4545	4792
1217	4549	4788
1218	4553	4784
1219	4556	4780
1220	4559	4776
1221	4562	4772
1222	4566	4768
1223	4570	4764
1224	4573	4760
1225	4576	4756
1226	4580	4752
1227	4584	4749
1228	4588	4745
1229	4592	4741
1230	4595	4737
1231	4599	4733
1232	4602	4729
1233	4606	4726
1234	4610	4722
1235	4614	4718
1236	4617	4714
1237	4621	4710
1238	4624	4706
1239	4627	4702
1240	4631	4698
1241	4635	4695
1242	4639	4691
1243	4642	4687
1244	4646	4684
1245	4650	4679
1246	4653	4675
1247	4656	4671
1248	4659	4667
1249	4664	4664
1250	4669	4661
1251	4672	4657
1252	4675	4653
1253	4679	4649
1254	4683	4646
1255	4687	4642
1256	4690	4638
1257	4694	4635
1258	4698	4631
1259	4701	4626
1260	4704	4622
1261	4708	4618
1262	4712	4615
1263	4715	4611
1264	4719	4607
1265	4722	4603
1266	4726	4599
1267	4731	4596
1268	4735	4593
1269	4739	4590
1270	4744	4587
1271	4747	4583
1272	4750	4579
1273	4754	4574
1274	4757	4570
1275	4761	4567
1276	4765	4563
1277	4768	4559
1278	4772	4555
1279	4776	4552
1280	4780	4549
1281	4784	4545
1282	4787	4541
1283	4792	4538
1284	4795	4534
1285	4798	4530
1286	4802	4526
1287	4806	4522
1288	4809	4518
1289	4813	4514
1290	4816	4510
1291	4819	4506
1292	4823	4503
1293	4827	4499
1294	4830	4495
1295	4833	4490
1296	4837	4486
1297	4841	4483
1298	4844	4479
1299	4848	4475
1300	4851	4471
1301	4855	4467
1302	4858	4463
1303	4862	4459
1304	4865	4455
1305	4868	4451
1306	4873	4448
1307	4876	4444
1308	4880	4440
1309	4883	4436
1310	4887	4432
1311	4891	4429
1312	4895	4425
1313	4899	4421
1314	4902	4417
1315	4906	4414
1316	4909	4410
1317	4913	4406
1318	4916	4402
1319	4920	4398
1320	4924	4394
1321	4927	4390
1322	4930	4386
1323	4933	4382
1324	4938	4379
1325	4941	4375
1326	4945	4371
1327	4948	4367
1328	4952	4363
1329	4956	4359
1330	4959	4355
1331	4962	4351
1332	4965	4347
1333	4970	4344
1334	4973	4340
1335	4977	4336
1336	4980	4332
1337	4983	4328
1338	4988	4324
1339	4992	4321
1340	4995	4317
1341	4999	4313
1342	5003	4310
1343	5006	4306
1344	5010	4302
1345	5013	4298
1346	5017	4294
1347	5020	4290
1348	5024	4286
1349	5027	4282
1350	5030	4278
1351	5034	4275
1352	5038	4271
1353	5041	4267
1354	5044	4262
1355	5049	4259
1356	5053	4256
1357	5056	4252
1358	5060	4248
1359	5063	4244
1360	5067	4240
1361	5071	4237
1362	5074	4232
1363	5077	4228
1364	5081	4225
1365	5086	4222
1366	5089	4218
1367	5092	4214
1368	5096	4210
1369	5100	4206
1370	5103	4202
1371	5106	4198
1372	5110	4194
1373	5114	4191
1374	5117	4186
1375	5120	4182
1376	5124	4178
1377	5127	4174
1378	5131	4171
1379	5135	4167
1380	5138	4163
1381	5141	4159
1382	5145	4155
1383	5149	4152
1384	5152	4148
1385	5156	4144
1386	5159	4140
1387	5163	4136
1388	5166	4132
1389	5170	4128
1390	5173	4124
1391	5177	4120
1392	5181	4117
1393	5184	4113
1394	5188	4109
1395	5191	4105
1396	5195	4102
1397	5199	4098
1398	5203	4095
1399	5207	4091
1400	5210	4087
1401	5214	4084
1402	5218	4080
1403	5221	4076
1404	5224	4072
1405	5229	4068
1406	5232	4064
1407	5235	4060
1408	5239	4056
1409	5242	4052
1410	5246	4049
1411	5249	4045
1412	5253	4041
1413	5256	4036
1414	5260	4033
1415	5263	4029
1416	5267	4025
1417	5270	4021
1418	5273	4017
1419	5277	4014
1420	5281	4010
1421	5284	4006
1422	5287	4002
1423	5291	3998
1424	5295	3994
1425	5299	3991
1426	5302	3987
1427	5306	3983
1428	5310	3980
1429	5314	3976
1430	5317	3972
1431	5320	3968
1432	5325	3964
1433	5328	3961
1434	5331	3957
1435	5335	3952
1436	5338	3948
1437	5342	3945
1438	5345	3941
1439	5348	3937
1440	5352	3933
1441	5355	3929
1442	5359	3925
1443	5362	3921
1444	5365	3917
1445	5369	3913
1446	5373	3910
1447	5376	3906
1448	5380	3902
1449	5383	3898
1450	5386	3894
1451	5390	3890
1452	5395	3887
1453	5398	3883
1454	5401	3879
1455	5405	3875
1456	5408	3871
1457	5412	3867
1458	5415	3863
1459	5419	3860
1460	5423	3857
1461	5426	3853
1462	5430	3849
1463	5434	3845
1464	5439	3842
1465	5442	3838
1466	5446	3834
1467	5449	3831
1468	5453	3827
1469	5456	3823
1470	5460	3819
1471	5463	3815
1472	5467	3811
1473	5471	3808
1474	5474	3804
1475	5478	3800
1476	5481	3796
1477	5485	3793
1478	5489	3789
1479	5493	3785
1480	5496	3781
1481	5499	3777
1482	5503	3774
1483	5507	3770
1484	5511	3767
1485	5514	3763
1486	5518	3759
1487	5522	3755
1488	5525	3751
1489	5529	3747
1490	5532	3743
1491	5536	3740
1492	5539	3736
1493	5543	3732
1494	5546	3728
1495	5550	3724
1496	5553	3721
1497	5557	3717
1498	5561	3713
1499	5564	3709
1500	5568	3706
1501	5572	3702
1502	5575	3698
1503	5579	3695
1504	5583	3691
1505	5587	3687
1506	5590	3683
1507	5593	3679
1508	5596	3675
1509	5600	3671
1510	5604	3668
1511	5608	3664
1512	5611	3660
1513	5615	3656
1514	5618	3653
1515	5622	3649
1516	5625	3645
1517	5629	3641
1518	5633	3638
1519	5636	3634
1520	5640	3630
1521	5643	3626
1522	5646	3622
1523	5650	3618
1524	5654	3615
1525	5657	3610
1526	5660	3607
1527	5664	3603
1528	5668	3599
1529	5671	3595
1530	5674	3591
1531	5677	3587
1532	5682	3584
1533	5685	3580
1534	5688	3576
1535	5692	3572
1536	5695	3568
1537	5700	3565
1538	5705	3562
1539	5709	3559
1540	5713	3555
1541	5717	3552
1542	5721	3548
1543	5724	3544
1544	5728	3540
1545	5732	3537
1546	5735	3533
1547	5738	3529
1548	5742	3525
1549	5746	3521
1550	5749	3517
1551	5752	3513
1552	5756	3510
1553	5759	3506
1554	5763	3502
1555	5767	3498
1556	5770	3494
1557	5773	3490
1558	5777	3487
1559	5781	3483
1560	5784	3479
1561	5787	3475
1562	5790	3471
1563	5795	3468
1564	5798	3464
1565	5801	3460
1566	5805	3456
1567	5808	3452
1568	5812	3449
1569	5817	3445
1570	5820	3441
1571	5824	3438
1572	5828	3434
1573	5833	3431
1574	5836	3427
1575	5839	3423
1576	5844	3420
1577	5847	3416
1578	5850	3412
1579	5854	3408
1580	5857	3404
1581	5861	3401
1582	5864	3397
1583	5867	3393
1584	5871	3389
1585	5875	3386
1586	5878	3382
1587	5881	3378
1588	5885	3374
1589	5888	3370
1590	5892	3366
1591	5896	3363
1592	5899	3358
1593	5902	3355
1594	5906	3351
1595	5910	3347
1596	5914	3344
1597	5917	3340
1598	5921	3336
1599	5925	3333
1600	5928	3329
1601	5932	3325
1602	5935	3321
1603	5939	3317
1604	5942	3313
1605	5946	3309
1606	5949	3306
1607	5952	3302
1608	5956	3298
1609	5960	3294
1610	5963	3291
1611	5967	3287
1612	5970	3283
1613	5974	3279
1614	5978	3275
1615	5981	3272
1616	5984	3268
1617	5988	3264
1618	5992	3260
1619	5995	3256
1620	5998	3252
1621	6002	3249
1622	6006	3245
1623	6009	3241
1624	6013	3237
1625	6016	3233
1626	6019	3230
1627	6024	3226
1628	6028	3223
1629	6032	3219
1630	6035	3215
1631	6039	3212
1632	6042	3208
1633	6046	3204
1634	6049	3200
1635	6053	3197
1636	6057	3193
1637	6060	3189
1638	6063	3185
1639	6067	3181
1640	6070	3177
1641	6074	3173
1642	6077	3170
1643	6080	3166
1644	6084	3162
1645	6087	3158
1646	6091	3154
1647	6094	3150
1648	6098	3147
1649	6102	3143
1650	6105	3139
1651	6108	3135
1652	6112	3131
1653	6116	3128
1654	6121	3125
1655	6124	3121
1656	6128	3117
1657	6132	3114
1658	6135	3110
1659	6139	3106
1660	6142	3102
1661	6145	3098
1662	6149	3095
1663	6153	3091
1664	6156	3087
1665	6159	3083
1666	6162	3079
